entity_addr,neighborhood,entity_total_trans_neighborhood_all_yr,total_trans_neighborhood_all_yr,pct_entity_total_trans_neighborhood_all_yr
0 PO BOX 724017 31139,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 74109 77274,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 744 30559,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 76473 30358,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 801154 30101,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 8130 98034,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 813099 30081,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 830571 30083,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 844 30079,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 88195 30356,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 89011 30312,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 9035 31106,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
0 PO BOX 91686 90009,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 924202 30010,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 924558 30010,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 942120 31141,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 943 30176,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 951 30054,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1 BEAVER DAM REACH 19971,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1000 ABERNATHY 30328,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1005 PEEPLES 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
10053 CRYSTAL 30238,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1006 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1006 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1007 ALMAND 30012,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1008 BRENTMOORE 30144,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1008 LOMA LINDA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
101 CREEL 30349,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
101 MEADOW 30040,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
101 RADFORD 30030,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1010 ANSTON 30075,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1010 CHASTAIN PARK 30342,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1010 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
10124 CROSBY 34986,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1013 LAWTON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1014 VIOLET 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1015 LOMA LINDA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1016 LOMA LINDA 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1017 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1018 WESTMONT 30311,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
102 BENTWOOD 30269,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
102 ORCHARD PARK 30253,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1021 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1021 PEEPLES 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1022 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1022 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1025 LAWTON 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1025 LOMA LINDA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1026 LOMA LINDA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1026 VIOLET 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1027 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1027 SPARKS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1028 DONNELLY 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1029 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
103 WAYFAIR OVERLOOK 30188,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1030 LOMA LINDA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1033 WHITE OAK 30310,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
1042 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1045 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1045 MOOREWOOD 30080,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1046 GRAHAM 30059,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1047 PEEPLES 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1047 WHITEOAK 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1048 DONNELLY 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1048 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1048 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1049 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
105 BLANCHE 30205,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
105 BOXWOOD 29803,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1050 SPARKS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1052 112TH 33168,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1052 AMESTERDAM 30306,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1052 AMSTERDAM 30306,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1052 TRAYMORE 30093,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1053 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1054 WHITE OAK 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1059 TRIAD 30062,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
1061 LAWTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1063 WHITE OAK 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1067 WHITEOAK 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
10676 COLONIAL 33913,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1070 DONNELLY 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1071 WHITE OAK 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1079 ARLINGTON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1080 EIGHT HUNDRED 84097,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1081 CROWN RIVER 30252,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1085 ARLINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1086 EDGEFIELD 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1087 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1089 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1091 SELWIN 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1092 DONNELLY 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1092 EDGEFIELD 30310,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
1093 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1094 WYLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1095 PEEPLES 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1096 ARLINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1096 PEEPLES 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1098 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
11 MAYWOOD CT 7410,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1100 WHITE OAK 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1103 CLIFTON 30307,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1104 CROWN 34957,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1105 CORDOVA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1105 CORDOVA 30316,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1105 MORNINGSIDE PARK 30022,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1107 MONTREAT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1108 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1108 GRAYMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1111 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1112 MERRILL 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1112 WYLIE 30316,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1114 EDGEFIELD 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1115 ARLINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1115 PRINCESS 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1115 SELWIN 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1116 SELWIN 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1116 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1117 AVON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1119 SELWIN 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
11193 180TH 11433,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1120 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
11205 ALPHARETTA 30076,"Bush Mountain, Oakland City",5.0,752,0.6648936170212766
1123 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1124 GRAYMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1124 LAROSA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1125 EDGEFIELD 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1125 ORENCO STATION 97124,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1126 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1128 ROBERT 70115,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
11280 SUN VALLEY 94605,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1129 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1130 LAROSA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1130 OAKLAND 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1130 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1132 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1132 INDALE 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1136 INDALE 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1136 WYLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1137 ARLINGTON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1137 WHITE OAK 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1140 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1142 ARLINGTON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1142 DONNELLY 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1142 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1142 WESTMONT 30311,"Bush Mountain, Oakland City",5.0,752,0.6648936170212766
1145 PRINCESS 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1146 DONNELLY 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1146 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1147 INDALE 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1147 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1148 INDALE 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1148 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1148 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1149 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
115 ARCH 29720,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
115 WEST PEACHTREE 30313,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1150 WYLAND 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1151 EWING 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1152 INDALE 30310,"Bush Mountain, Oakland City",5.0,752,0.6648936170212766
1152 MERRILL 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1157 INDALE 30310,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
1157 OAKLAND 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1157 WHITE OAK 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1158 DONNELLY 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1158 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1159 GRAYMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1160 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1160 WILMINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1162 INDALE 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1162 MISTY MEADOWS 30228,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1164 WESTMONT 30311,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1164 WILIMINGTON 30319,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1165 GRAYMONT 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1167 OAKDALE 30307,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1170 EDGEFIELD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1170 HAYNES BRIDGE 30009,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1170 WILMINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1171 EWING 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1171 GRAYMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1171 INDALE 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1173 CONCORD 30080,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1174 WILMINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1177 MERRILL 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
11770 HAYNES BRIDGE 30009,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1178 DONNELLY 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1178 WILMINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1179 EWING 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
118 STAFFORD 30314,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
118 WINDSONG 30281,"Bush Mountain, Oakland City",5.0,752,0.6648936170212766
1181 ARLINGTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1181 TRENTON 30126,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1183 EWING 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1183 MERRILL 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1185 COLLIER 30318,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1188 AVON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1188 EWING 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
119 LEATHERS 30314,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1194 OAKLAND 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
11955 OLMSTEAD 30215,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1199 HUFF 30318,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1199 PLACE 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
120 UNION 22314,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1213 WOODBERRY 30034,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1214 AVON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1216 BEECHER 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1216 OAKLAND 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1220 AVON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1220 BEECHER 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1221 WATSON 30316,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1222 PRINCESS 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1223 BRIDGES 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1227 AVON 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1227 ROCKBRIDGE 30087,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1228 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1230 AVON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1231 PEACHTREE 30309,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1232 ALMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1233 AVON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1235 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1237 OAKLAND 30310,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
1238 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1239 OCEAN SHORE 32176,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
124 2ND 30680,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1245 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1246 BEECHER 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1246 EPWORTH 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1246 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1246 PLAZA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
12460 CRABAPPLE 30004,"Bush Mountain, Oakland City",5.0,752,0.6648936170212766
12461 VETERANS MEMORIAL 30134,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1247 AVON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1249 HARTFORD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1251 PLAZA 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1253 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1255 ST LAWRENCE 30022,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1255 TESTAROSA 30062,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1256 EPWORTH 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1260 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1265 PLEASANT HILL 30044,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1266 ALMONT 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1266 OAKLAND 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1268 AVON 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1268 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
127 BARKLEY 30328,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
127 SHAKER 4039,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1270 CAROLINE 30307,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1270 EPWORTH 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1271 AVON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1271 BYEWOOD 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1272 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1273 NORTH 30318,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1273 RICHLAND 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1274 EPWORTH 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1275 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1277 PEACHTREE 30269,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1278 EPWORTH 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1278 LADD 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1278 OAKLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1280 BEECHER 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1280 PEACHTREE 30309,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1290 CAMPBELLTON 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1293 ALMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1296 PLAZA 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1297 RICHLAND 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1299 ALMONT 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
130 ARIZONA 30307,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1300 PLAZA 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
1301 WESTBORO 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1302 BEECHER 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1302 LADD 30310,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
1303 RICHLAND 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
1304 WESTBORO 30310,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
1305 PLAZA 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
